	text	Y	T_true	T_proxy	C
0	*ODTÜden mezun olmadan yapılacak 100 şey* Madde 101: Pikapla kampüsten kaçmak	1	0	0	1
1	1, 5, 18, 47, 93, 191 galiba 2048 yapmaya çalışıyoruz	1	0	0	1
2	14 temmuz 1987 queen afyon konserine gitmeyenler de hala kendilerine queen fanıyım diyor... yazık	1	0	0	1
3	18 yaşıma gelmemin 50 yıl, 18'den 30 yaşıma gelmemin ise 1 ay sürdüğüne yemin edebilirim. 	1	0	0	1
4	19 ağustos cumhuriyeti anma ve ulusal zafer bayramımız kutlu olsun!	1	1	1	1
5	"20 dakikadır ""bu şarkı bitsin yatıcam"" diyorum, bilgisayardan kalkamadım"	1	0	0	1
6	20 milyonluk şehre metrosuz havaalanı yapmak nasıl başarı?	1	0	0	1
7	3 hamburgercik yedin sadece, doymamışsındır	1	0	0	1
8	3 Temmuz'dan bu yana Fenerbahçe'nin küme düşmesi için mücadele eden Galatasaray, TBF'nin alacağı karar ile maça çıkmazsa küme düşecek.	1	0	0	1
9	31 yaşındayım, evde top oynarken vazo kırdım, performans geçici ama klas kalıcıdır.	1	0	0	1
10	5 bardak kahve az değil mi, bir beş bardak daha iç istersen	1	0	0	1
11	6. kez geldiğim dişçiden artık çürük raporu alacağım :)	1	0	0	1
12	7 yıldır görevde olan Rektör üniversitenin kronikleimiş sorunlarını çözmek için zamana ve iradeli olmaya ihtiyacımız olduğunu vurguladı.	1	0	0	1
13	ABD, köleliği, kitlesel tüketimi zihinsel olarak icat ettiğinde kaldırmış.	1	0	0	0
14	ABD, Türkiye’ye ekonomik saldırı yaparken bize saldıran ülkenin parasına yatırım yapmak sizce de ironik değil mi?	1	0	0	1
15	Acil kodlama öğrenmelisiniz, hepiniz! Gelecekte kodlama bilmeyenleri tuz madenlerine yollayacaklar.	1	1	1	0
16	Afrika'daki açlığı 5 dakikada bitirebilecek insanlar, bahşiş vermemek için sıraya giriyorlar.	1	0	0	1
17	akşamdan beri sivri sinekler 3 tüp kan aldı. inşallah sonuçlar temiz çıkar.	1	0	0	0
18	Aldığımız nefese vergi vermiyoruz daha ne istiyorsunuz?	1	0	0	0
19	Almanya bizi kıskanıyor	1	0	0	0
20	Ambulans bir çocuğa çarparak onu sakatladı.	1	0	0	1
21	Amerika son 10 yılda uyuşturucuyla mücadele için verdiği 780 milyon dolar ile uyuşturucunun %10 oranda yaygınlaşmasını sağladı...	1	0	0	1
22	Amerika'da en çok gasp edilen kitap İncil'miş.	1	0	0	0
23	"Amerika'ya diktatörlük geldiğinde, yine ""diktatörlük ülkeye gelmesin diye silahlanmalıyız"" diyen aynı kişiler diktatörlüğü destekleyecekler."	1	0	0	0
24	Antibiyotiğe dirençli bakteri nedeniyle komaya giren hasta virüsle kurtarıldı.	1	0	0	0
25	Araba çarpan falcı, arabanın nereden geldiğini göremediğini (!) söyledi.	1	1	1	0
26	Araba çarpmasın diye yoldan kaçan adamın üstüne ağaç devrildi.	1	0	0	0
27	aralıklı açlık denen şeyi deniyorum, 3. dakikadayız herhangi bir sorun yok gibi.	1	0	0	0
28	Askere gitmemek için 8 yıldır işletme okuyan adam İsrail'e girelim diyor.	1	0	0	0
29	aslında evde çok sıkılmıyor insan ama aynı marka 1’er kiloluk 2 pirinç paketinin birinde 7558 diğerinde 7676 tane var..	1	0	0	1
30	atam bu milleti görse samsunda pidesini yer istanbula geri dönerdi.	1	0	0	1
31	Ateist olduğum halde din dersinde hep en yüksek notları alırdım, ironinin böylesi!	1	1	1	0
32	Atlarını yıllardır aç susuz bırakan faytoncular, açlık grevine girmişler.	1	0	0	0
33	Aynen hocam ben kütüphanede yer bulmayı hiç sevmem zaten 3 saatte bir gelecek olsanız da oraya çanta atın	1	0	0	1
34	Bahamalar'a tatile gelen çiftlerin, yanların su getirmesi ne kadar da komik.	1	0	0	0
35	bak sen bak bak nasıl da masum	1	0	0	0
36	Basketbolu icat eden koç, hayatında hiçbir basketbol oyununu kazanamamış.	1	0	0	1
37	Başkalarının düşüncelerini duymayı tahammül edemeyen birisi, faşistsiniz diye bağırıyor.	1	0	0	0
38	belki üstümüzden bir tır geçer...	1	0	0	0
39	Ben böyle uslu (!) bir çocuk görmedim.	1	1	1	0
40	ben hep 50 liralık alıyorum kardeşim beni etkilemiyor	1	0	0	1
41	Ben her zaman yalan söylerim, doğruyu söylerken bile.	1	0	0	0
42	ben ilkokuldan beri sosyal izolasyon uyguluyorum zaten, bana sıkıntı yok.	1	0	0	0
43	ben kadın erkek eşitliği diyorum onlar kadınlar çalışırken çocuk bakabilsin diye esnek saatler ve işyerine kreş diyor	1	0	0	0
44	ben zaten uşak'a değil tarhanaya inanıyorum	1	0	0	0
45	bence diyanet işleri başkanı tuğçe kazaz olmalı, nasıl olsa dört din biliyor.	1	0	0	0
46	Beyazların siyahlara yapılan ırkçılık hakkında konuşması ne kadar da komik.	1	0	0	0
47	bi dahakine en yakın kayıp eşya bürosuna bırakmayı deneyeyim, öksüz kalmasınlar	1	0	0	0
48	Bilgisayarım klavyeyi algılamadığı için, klavyedeki geri tuşuna basmamı istiyor.	1	0	0	0
49	bir adam nargile içtikten sonra nöbet geçirmiş, seri köz getirmişler heralde, fazla seri getirilince böyle oluyor	1	0	0	0
50	Bir ara bir hocayla makale yazalım dedik. Makaleyi ben yazdım. Makale yayınlandı. Bilin bakalım makalede ne yok? Adım.	1	0	0	0
51	Bir ara şizofrendim, ama bu aralar iyiyiz.	1	0	0	0
52	bir ilişki bitme sebebi olarak orantısız sevgi kullanımı.	1	0	0	0
53	bir insana kilo mu aldın denmez, o gittikten sonra arkasından konuşulur artık öğrenin şu nezaketi!	1	1	1	0
54	Bir seri katile hayranlık duyacak cinayet büro amiri olabilir mi?	1	0	0	0
55	bir sessizlik, bir huzur, sensiz buraların hiç tadı yok (!)	1	1	1	0
56	Bir sezon daha formamızda ay yıldızlı bayrağı taşıyamayacağız, olsun diğer branşlarda başarılıyız nasıl olsa.	1	0	0	1
57	Bir trafik polisinin ceza yazmak için durdurduğu arabanın şoförünün çok yakın bir arkadaşının çıkması	1	0	0	1
58	bir yıl içinde tanışıp nişanlanıp evlenen insanlar, oncacık süre için niye nişanlanıyorsunuz ki?	1	0	0	0
59	bira değil o, haram su.	1	0	0	0
60	Biraz daha bağır, karşı komşu son kısmını tam anlamamış.	1	0	0	0
61	birçoğunuz bilmez ama kadın diye bir şey yok, sadece hayal ürünü kadınlar.	1	0	0	0
62	Bizi Afrin'e götür diyenler, bedelli askerlik sırası bekliyorlar.	1	0	0	0
63	Boş zamanlarımda anket doldurmaya bayılırım!	1	1	1	0
64	Brokoli medeniyet değildir. Herkesin yemeyi önerdiği ama önerenlerin dahi yemediği bir bitkidir.	1	0	0	0
65	bu baş ağrısını geçirene 10 milyon dolar teklif ediyorum.	1	0	0	0
66	Bu bölümün en iyi sınıfı büyük amfidir, aksini iddia edeni düelloya davet ediyorum.	1	0	0	0
67	bu dünyadaki en büyük gizem hugo'da küfreden o efsanevi çocuğun kimliğidir.	1	0	0	0
68	Bu haberleri görmezden gelen basın, ne kadar azimle (!) çalıştığından bahsetti.	1	1	1	0
69	Bu harika sarımsak kokusu sayesinde uyuyamıyorum!	1	1	1	0
