	Unnamed: 0	text	Y	T_true	T_proxy	old_C	C
0	0	*ODTÜden mezun olmadan yapılacak 100 şey* Madde 101: Pikapla kampüsten kaçmak	1	0	0	1	5
1	1	1, 5, 18, 47, 93, 191 galiba 2048 yapmaya çalışıyoruz	1	0	0	1	5
2	2	14 temmuz 1987 queen afyon konserine gitmeyenler de hala kendilerine queen fanıyım diyor... yazık	1	0	0	1	6
3	3	18 yaşıma gelmemin 50 yıl, 18'den 30 yaşıma gelmemin ise 1 ay sürdüğüne yemin edebilirim. 	1	0	0	1	9
4	4	19 ağustos cumhuriyeti anma ve ulusal zafer bayramımız kutlu olsun!	1	1	1	1	5
5	5	"20 dakikadır ""bu şarkı bitsin yatıcam"" diyorum, bilgisayardan kalkamadım"	1	0	0	1	8
6	6	20 milyonluk şehre metrosuz havaalanı yapmak nasıl başarı?	1	0	0	1	6
7	7	3 hamburgercik yedin sadece, doymamışsındır	1	0	0	1	2
8	8	3 Temmuz'dan bu yana Fenerbahçe'nin küme düşmesi için mücadele eden Galatasaray, TBF'nin alacağı karar ile maça çıkmazsa küme düşecek.	1	0	0	1	4
9	9	31 yaşındayım, evde top oynarken vazo kırdım, performans geçici ama klas kalıcıdır.	1	0	0	1	0
10	10	5 bardak kahve az değil mi, bir beş bardak daha iç istersen	1	0	0	1	0
11	11	6. kez geldiğim dişçiden artık çürük raporu alacağım :)	1	0	0	1	1
12	12	7 yıldır görevde olan Rektör üniversitenin kronikleimiş sorunlarını çözmek için zamana ve iradeli olmaya ihtiyacımız olduğunu vurguladı.	1	0	0	1	2
13	13	ABD, köleliği, kitlesel tüketimi zihinsel olarak icat ettiğinde kaldırmış.	1	0	0	0	3
14	14	ABD, Türkiye’ye ekonomik saldırı yaparken bize saldıran ülkenin parasına yatırım yapmak sizce de ironik değil mi?	1	0	0	1	5
15	15	Acil kodlama öğrenmelisiniz, hepiniz! Gelecekte kodlama bilmeyenleri tuz madenlerine yollayacaklar.	1	1	1	0	0
16	16	Afrika'daki açlığı 5 dakikada bitirebilecek insanlar, bahşiş vermemek için sıraya giriyorlar.	1	0	0	1	4
17	17	akşamdan beri sivri sinekler 3 tüp kan aldı. inşallah sonuçlar temiz çıkar.	1	0	0	0	4
18	18	Aldığımız nefese vergi vermiyoruz daha ne istiyorsunuz?	1	0	0	0	4
19	19	Almanya bizi kıskanıyor	1	0	0	0	0
20	20	Ambulans bir çocuğa çarparak onu sakatladı.	1	0	0	1	7
21	21	Amerika son 10 yılda uyuşturucuyla mücadele için verdiği 780 milyon dolar ile uyuşturucunun %10 oranda yaygınlaşmasını sağladı...	1	0	0	1	2
22	22	Amerika'da en çok gasp edilen kitap İncil'miş.	1	0	0	0	1
23	23	"Amerika'ya diktatörlük geldiğinde, yine ""diktatörlük ülkeye gelmesin diye silahlanmalıyız"" diyen aynı kişiler diktatörlüğü destekleyecekler."	1	0	0	0	2
24	24	Antibiyotiğe dirençli bakteri nedeniyle komaya giren hasta virüsle kurtarıldı.	1	0	0	0	4
25	25	Araba çarpan falcı, arabanın nereden geldiğini göremediğini (!) söyledi.	1	1	1	0	7
26	26	Araba çarpmasın diye yoldan kaçan adamın üstüne ağaç devrildi.	1	0	0	0	7
27	27	aralıklı açlık denen şeyi deniyorum, 3. dakikadayız herhangi bir sorun yok gibi.	1	0	0	0	8
28	28	Askere gitmemek için 8 yıldır işletme okuyan adam İsrail'e girelim diyor.	1	0	0	0	2
29	29	aslında evde çok sıkılmıyor insan ama aynı marka 1’er kiloluk 2 pirinç paketinin birinde 7558 diğerinde 7676 tane var..	1	0	0	1	1
30	30	atam bu milleti görse samsunda pidesini yer istanbula geri dönerdi.	1	0	0	1	5
31	31	Ateist olduğum halde din dersinde hep en yüksek notları alırdım, ironinin böylesi!	1	1	1	0	0
32	32	Atlarını yıllardır aç susuz bırakan faytoncular, açlık grevine girmişler.	1	0	0	0	6
33	33	Aynen hocam ben kütüphanede yer bulmayı hiç sevmem zaten 3 saatte bir gelecek olsanız da oraya çanta atın	1	0	0	1	5
34	34	Bahamalar'a tatile gelen çiftlerin, yanların su getirmesi ne kadar da komik.	1	0	0	0	9
35	35	bak sen bak bak nasıl da masum	1	0	0	0	4
36	36	Basketbolu icat eden koç, hayatında hiçbir basketbol oyununu kazanamamış.	1	0	0	1	9
37	37	Başkalarının düşüncelerini duymayı tahammül edemeyen birisi, faşistsiniz diye bağırıyor.	1	0	0	0	6
38	38	belki üstümüzden bir tır geçer...	1	0	0	0	3
39	39	Ben böyle uslu (!) bir çocuk görmedim.	1	1	1	0	1
40	40	ben hep 50 liralık alıyorum kardeşim beni etkilemiyor	1	0	0	1	5
41	41	Ben her zaman yalan söylerim, doğruyu söylerken bile.	1	0	0	0	3
42	42	ben ilkokuldan beri sosyal izolasyon uyguluyorum zaten, bana sıkıntı yok.	1	0	0	0	0
43	43	ben kadın erkek eşitliği diyorum onlar kadınlar çalışırken çocuk bakabilsin diye esnek saatler ve işyerine kreş diyor	1	0	0	0	7
44	44	ben zaten uşak'a değil tarhanaya inanıyorum	1	0	0	0	5
45	45	bence diyanet işleri başkanı tuğçe kazaz olmalı, nasıl olsa dört din biliyor.	1	0	0	0	5
46	46	Beyazların siyahlara yapılan ırkçılık hakkında konuşması ne kadar da komik.	1	0	0	0	1
47	47	bi dahakine en yakın kayıp eşya bürosuna bırakmayı deneyeyim, öksüz kalmasınlar	1	0	0	0	6
48	48	Bilgisayarım klavyeyi algılamadığı için, klavyedeki geri tuşuna basmamı istiyor.	1	0	0	0	7
49	49	bir adam nargile içtikten sonra nöbet geçirmiş, seri köz getirmişler heralde, fazla seri getirilince böyle oluyor	1	0	0	0	8
50	50	Bir ara bir hocayla makale yazalım dedik. Makaleyi ben yazdım. Makale yayınlandı. Bilin bakalım makalede ne yok? Adım.	1	0	0	0	3
51	51	Bir ara şizofrendim, ama bu aralar iyiyiz.	1	0	0	0	5
52	52	bir ilişki bitme sebebi olarak orantısız sevgi kullanımı.	1	0	0	0	2
53	53	bir insana kilo mu aldın denmez, o gittikten sonra arkasından konuşulur artık öğrenin şu nezaketi!	1	1	1	0	1
54	54	Bir seri katile hayranlık duyacak cinayet büro amiri olabilir mi?	1	0	0	0	5
55	55	bir sessizlik, bir huzur, sensiz buraların hiç tadı yok (!)	1	1	1	0	3
56	56	Bir sezon daha formamızda ay yıldızlı bayrağı taşıyamayacağız, olsun diğer branşlarda başarılıyız nasıl olsa.	1	0	0	1	5
57	57	Bir trafik polisinin ceza yazmak için durdurduğu arabanın şoförünün çok yakın bir arkadaşının çıkması	1	0	0	1	3
58	58	bir yıl içinde tanışıp nişanlanıp evlenen insanlar, oncacık süre için niye nişanlanıyorsunuz ki?	1	0	0	0	2
59	59	bira değil o, haram su.	1	0	0	0	1
60	60	Biraz daha bağır, karşı komşu son kısmını tam anlamamış.	1	0	0	0	6
61	61	birçoğunuz bilmez ama kadın diye bir şey yok, sadece hayal ürünü kadınlar.	1	0	0	0	0
62	62	Bizi Afrin'e götür diyenler, bedelli askerlik sırası bekliyorlar.	1	0	0	0	4
63	63	Boş zamanlarımda anket doldurmaya bayılırım!	1	1	1	0	6
64	64	Brokoli medeniyet değildir. Herkesin yemeyi önerdiği ama önerenlerin dahi yemediği bir bitkidir.	1	0	0	0	4
65	65	bu baş ağrısını geçirene 10 milyon dolar teklif ediyorum.	1	0	0	0	0
66	66	Bu bölümün en iyi sınıfı büyük amfidir, aksini iddia edeni düelloya davet ediyorum.	1	0	0	0	8
67	67	bu dünyadaki en büyük gizem hugo'da küfreden o efsanevi çocuğun kimliğidir.	1	0	0	0	5
68	68	Bu haberleri görmezden gelen basın, ne kadar azimle (!) çalıştığından bahsetti.	1	1	1	0	9
69	69	Bu harika sarımsak kokusu sayesinde uyuyamıyorum!	1	1	1	0	3
70	70	Bu kadar güzel bir sabaha böyle güzel bir trafik kazası yakışırdı!	1	1	1	0	3
71	71	bu yılın başında 5 kilo veriyordum, bu gidişle seneye 15 kilo vermem gerekecek.	1	0	0	1	4
72	72	Bugün sadece bir kilocuk et yedim.	1	0	0	0	2
73	73	Bugünkü uçağımızın pilotu, yükseklik korkusuna sahip.	1	0	0	1	6
74	74	buradan sevgili cin kardeşlerimize sesleniyorum: siz işinizi doğru dürüst yapmadığınız için inanç sistemi yara alıyor.	1	0	0	0	0
75	75	canım okulum pass fail getirmiş ama dönemlik, olsun adam olana çok bile!	1	1	1	1	5
76	76	Charlie ve Çikolata Fabrikası olması gereken filmi Charlie'nin Çikolata Fabrikası olarak çevirip bize spoiler'ın dibini veren hainlere karşı sessiz mi kalacağız?	1	0	0	1	5
77	77	Cümle az gelir kompozisyon yazalım	1	0	0	0	9
78	78	Çevreden duyduğuma göre, hiç bir ünü yokmuş.	1	0	0	0	3
79	79	Çocuğumu uyutmaya çalışırken uyuya kalan baba, bebeğini saat 04:00'te hala uyanık görünce çaresizce eşini aradı...	1	0	0	1	6
80	80	çok komiksin, o kadar komiksin ki seni dinlerken uyuyakalacağım.	1	0	0	0	9
81	81	Çok pahalı montuyla ve altın kaplı telefonuyla ucuz yemek sırasında bekliyordu!	1	1	1	1	4
82	82	çok şaşırtıcı(!) bir durum, toplumsal olaylara duyarlılığı, halkı bilinçlendirmeye yönelik programları ile bilinen biridir oysa.	1	1	1	1	3
83	83	Daha güzel bir hayat için ömür boyu doyumsuzca çalışır sonra bir gün yanlışlıkla ölürüz.	1	0	0	0	3
84	84	demek ki aya insanlı araç göndersek, içindekiler soluğu jupiterde alacak.	1	0	0	0	6
85	85	Derbi galibiyeti nasıl bir şey unuttum	1	0	0	0	3
86	86	Dışarıda virüs falan görmüyorum.	1	0	0	0	4
87	87	Dijitalleşme konusunu toplantıda konuşurken elektrik gitti. :)	1	0	0	1	0
88	88	Diktatörün twitter'ın kökünü kazıyacağını açıklamasını sevinçle karşılayan kitle bu haberi twitter'dan öğrendi.	1	0	0	1	4
89	89	Din üzerine rezervasyonlar ile alım yapan bir üniversite, sekülerizm ile savaşıyor.	1	0	0	0	5
90	90	diyanetin alkol haram değildir diye fetva vermesi...	1	0	0	0	4
91	91	Diyet kola bağımlılığını yendi, 100 milyon dolarlık aromalı su şirketi kurdu.	1	0	0	1	1
92	92	Diyetisyenim mide kelepçesi taktırdığı için bugünkü randevumuzu iptal etti.	1	0	0	1	0
93	93	dolara karşı elimizde büyük bir koz var: cebinde doları olmamak.	1	0	0	0	4
94	94	Doların 5 lirayı geçtiğini duyan esnaf, banknotları yırtıp atmaya başladı!	1	1	1	1	4
95	95	Dolmabahçe Sarayı'ndaki altın temalı mütevazi (!) törene yalnızca 3000 kişi katıldı.	1	1	1	1	1
96	96	Düğününe elbette katılmak isterim ama o gün kaynanamin kedisinin doğum günü partisi var.	1	0	0	0	1
97	97	Dünyanın en büyük tütün şirketi, sağlık hakkında kampayalar düzenliyor.	1	0	0	0	4
98	98	Dünyanın en zehirli yılanı kendi dilini ısırarak ölmüş...	1	0	0	0	3
99	99	Dünyaya bakınca her yer su ama tuzdan ötürü içilecek bir damla suyu bulmak çok zor.	1	0	0	0	1
100	100	eee tıp'ta 5. senem bittiğine göre artık bilgisayar mühendisliğine geçmeye hazırım	1	0	0	1	1
101	101	efendiler yarın konkordato ilan edeceğiz	1	0	0	0	9
102	102	Ekonomimiz öyle iyi bir halde ki, enflasyon 3 haneli sayılara çıkacak.	1	0	0	1	0
103	103	elektronik aletlerle anlaşamıyorum, sanırım kibar davrandıklarım naz yapıyor.	1	0	0	1	7
104	104	"Elon Musk'ın büyük oğlu ""Hotbird"" bu sene üniversiteye başlayacak."	1	0	0	1	4
105	105	en sevdiğim şey 1 hafta sonrasına arkadaşlarımla plan yapıp 1 gün önce iptal etmek.	1	0	0	1	1
106	106	Etrafa saçma sapan virüsler saçmamak adına elinizi yıkamaya lavaboya yanaşıyorsunuz, sonra kafanıza pencere düşüyor. Aşırı iyi değil mi?	1	0	0	1	0
107	107	evde bayram temizliği yapacağız diye beni dışarı yolladılar, yolda fark ettim ki temizliğe benden başlamışlar çok üzgünüm şu an...	1	0	0	0	0
108	108	evde dura dura ingiltere kraliçesi gibi oldum, arada çıkıp çıkıp balkondan el sallıyorum!	1	1	1	0	5
109	109	Evde kalmak için mükemmel bir gün!	1	1	1	0	2
110	110	evde ses olsun diye havlıyorum	1	0	0	0	1
111	111	evde spor yapabilen cindir	1	0	0	1	2
112	112	evdeki saat kendini 1 saat geri almış, annem de 1 saat geri almış, kimse almamıştır diye ben de aldım, şu an aylardan temmuz.	1	0	0	0	2
113	113	evden çıkmanın yasak olduğu bayramda nasıl olduysa normalden daha çok akraba ile bayramlaştım, teşekkürler(!) görüntülü konuşma.	1	1	1	0	5
114	114	eve kapandığımız şu dönemlerde kendime yeni ve önemli yetenekler katıyorum, mesela bu hafta kısır yapmayı öğrendim.	1	0	0	1	1
115	115	evet ben zaten keyfimden siliyordum yerleri tabii ki geç çamurlu ayaklarınla bir şey olmaz	1	0	0	0	3
116	116	Evet bilgisayarlar bizi ele geçirecek	1	0	0	1	1
117	117	Evet hocam yanağımda kuru bir yer kaldı lütfen oraya doğru da öksürün.	1	0	0	0	1
118	118	evet veganım ve et yiyorum!	1	1	1	0	1
119	119	Evet, bence de böylesine bulaşıcı bir hastalığın dünyayı sardığı bu günlerde hep birlikte sokaklarda olarak yalnız olmadığımızı hissettirmeliyiz	1	0	0	1	1
120	120	Fabrikadaki mühendis, kendisinin yerine alacak robotların satın almasını gerçekleştirdi.	1	0	0	1	6
121	121	Faiz lobisi, caiz lobisi, enflasyon ve döviz lobisi birleşip yola çıkmışlar. Dikkatli olalım. Sonra ekonomik kriz var demeyelim.	1	0	0	1	5
122	122	Falcılar, öngörülemez sebeplerden ötürü toplantıya katılamadılar.	1	0	0	0	7
123	123	Fenerbahçe'yi bir sürü borca sokan adam, ülkede yılın spor adamı seçilmiş.	1	0	0	0	7
124	124	Fransa not indiriminden ve Rick Perry'nin başına gelenlerden dersini (!) almamış anlaşılan!	1	1	1	0	5
125	125	Geçen yıl aldığın saatin kırmızısını almışsın! Bu ne sürpriz!	1	1	1	0	2
126	126	"gelmiş herkes yakında emoji ile anlaşacak konuşma dili kalmayacak diyor. sen emoji'yle ""Bİ KERE DE BANA İHTİYACIN OLSUN BEEE"" diyebilir misin?"	1	0	0	1	6
127	127	gerçekten harika (!) bir yetenek, doğuştan mı yoksa kendini geliştirdin mi böyle olmak için?	1	1	1	0	1
128	128	Gerçekten tebrik ederim, bu mantıklı (!) açıklama beni çok tatmin etti.	1	1	1	0	4
129	129	Geri kalmış olan saatim, günde 2 kez bile doğruyu göstermiyor.	1	0	0	0	2
130	130	"gerizekalısın diyemediğim için ""o da senin görüşün"" diyorum :/"	1	0	0	0	8
131	131	Gitmene ne de çok üzüldüm, anlatamam...	1	0	0	1	2
132	132	gizli buzlanma gibisin, bir bastım hayatım kaydı...	1	0	0	0	0
133	133	Görme engelli yarışmacıya elini uzatıp sıkmasını bekleyen müdürden istifası istendi.	1	0	0	1	4
134	134	Güne daha güzel başlayamazdım, üstüm başım çamur oldu.	1	0	0	0	0
135	135	Hafif tempolu koşuyu(jogging) bulan kişinin kalp krizinden hayatını yitirmesi ne çelişkidir ama...	1	0	0	1	2
136	136	Halden anlarım diye manav mı sandın?	1	0	0	0	8
137	137	Hanımefendi siz kendi çabanızla mi gerizekalı oldunuz yoksa doğuştan mı böyleydiniz	1	0	0	0	5
138	138	Hareketlerimin sorumluluğunu almamak benim suçum değil.	1	0	0	1	1
139	139	Harika bir pazar sabahı, evimin önünde kocaman bir çukur var.	1	0	0	0	3
140	140	Harika! Yeni kameramı kırdın.	1	1	1	0	1
141	141	Hava sadece 42 derece, buz gibi adeta!	1	1	1	1	0
142	142	hayat çok garip değil mi ya? hindistan’da tanrı oluyorsun burada kavurma.	1	0	0	0	0
143	143	Hayatımda hiç sermaye piyasası yazısı yazmadığım halde şimdi de yılın sermaye piyasası yazarı ödülünü aldım.	1	0	0	0	7
144	144	he, he bi akıllı sensin he, aynen kardeşim he	1	0	0	0	8
145	145	herkese söylemedim tabii ki, sadece sınıftaki 34 kişiciğin haberi var.	1	0	0	0	4
146	146	herkesi ama herkesi malazgirt in doğusuna alıp bir daha anadoluya girmeli. restart edilmeden düzelmez.	1	0	0	0	3
147	147	hiçbir dersine gitmediğim dersin sınavından 89 almışım :)	1	0	0	0	4
148	148	Hocam kaldırıma 3 kişi yan yana tam sığamamışsınız. İsterseniz dilekçe verip kaldırımı genişletme talebinde bulunalım da yan yana rahat rahat yürüyün.	1	0	0	1	7
149	149	hocam madem sınavda 19 verecektin ben neden her dersini en önden dinledim?	1	0	0	1	4
150	150	hocamlar spor salonunda libidomu düşürdüm bulan oldu mu acaba?	1	0	0	0	6
151	151	İddiaya girerim ki kumarı bırakabilirim!	1	1	1	0	3
152	152	İki ay sonra işten kovulacak personeller, şirketin yılbaşı yemeğinde doyasıya eğlendi.	1	0	0	0	7
153	153	infj burçlular burada mı?	1	0	0	1	0
154	154	İngilizler insanlara en çok lord kelimesini kullanan toplum olmasına rağmen, tanrıyı onurlandıramıyorlar.	1	0	0	0	1
155	155	İngiltere sağlık bakanının koronavirüs testi pozitif çıktı.	1	0	0	1	0
156	156	İngiltere'nin en büyük köpeğinin adı Minik.	1	0	0	0	6
157	157	İnsan yakıp katliam yapanlar için, yaşasın cehennem!	1	1	1	0	7
158	158	"İnternet hızı arttırılsın diyorum, adam ""boykot ediyoruz"" diyor, küfür ediyor. İnterneti boykot ediyor, hem de tweet atarak, kafa zehir."	1	0	0	0	8
159	159	İnternet kullanmanın ne kadar sıkıcı olduğunu anlatan bir videoyu yine Youtube üzerinden yayınladım.	1	0	0	1	9
160	160	iskoç eteği mi? eteğin milliyeti olmaz, dünya eteği için destek!	1	1	1	0	6
161	161	istanbul havalimanı konum olarak zaten kendisi yanlış yerde, metro istasyonu yanlış olmuş çok mu?	1	0	0	1	5
162	162	İstanbul'a taşınsam her hafta bir yeri gezerim, ama önce bi Tunalı Hilmi Caddesi'ni görsem iyi olacak. :)	1	0	0	0	3
163	163	İstanbul'da yağmur sonrası ortaya çıkan o harika beton kokusunu hiçbir şeye değişmem be arkadaş... ohhh mis	1	0	0	0	8
164	164	İtfaiye merkezinde kötü bir yangın çıkmış.	1	0	0	0	2
165	165	İyi ki Topkapı Sarayı'nı gezmedi, kaşıkçı elmasını da isteyebilirdi.	1	0	0	0	7
166	166	Kadına şiddet uygulayan bütün erkekleri yine bir kadının yetiştirmiş olması çok ironik.	1	0	0	0	0
167	167	kadir gecesinde 800 ürüne ek gümrük vergisi indirilmiş gökten...	1	0	0	1	4
168	168	kantin önü boşçu tayfadaki azime hayranım. vardiyalı çalışılıyor, gece boyu batak/ şarkı türküyle uyutmadıklarını biliyordum ama artık sabah ekibi de gelmiş sanırım.	1	0	0	0	9
169	169	karantinanın 40. gününde hamurun kulak memesi kıvamına gelmesinin ne demek olduğunu sonunda anladım.	1	0	0	1	9
170	170	karantinanın 47. gününde hayat tercihlerimi sorgulayıp okumaya karar verdiğim 7. meslekten de vazgeçtim	1	0	0	1	4
171	171	karbonhidratı kesmekten kasıtlarının pizza dilimlemek olduğunu umuyorum.	1	0	0	1	8
172	172	kaynanama ben bakıyormuşum da emekli maaşını görümcem alıyormuş gibi bir gün...	1	0	0	0	3
